1. Pretrain Model,2. Representation Method,3. FewShot-Tune Method,4. Data Augmentation,Seed,,Zero-Shot,,,5-Shot,,,20-Shot,,,100-Shot,,,Full-Shot,
,,,,,Base R@10,Novel R@10,Avg R@10,Base R@10,Novel R@10,Avg R@10,Base R@10,Novel R@10,Avg R@10,Base R@10,Novel R@10,Avg R@10,Base R@10,Novel R@10,Avg R@10
,,,,MEAN,72,62,67,72.3,65.2,68.7,72.3,68.2,70.2,73.2,73.8,73.5,73.9,77.5,75.7
,,,,STD,,,,0.9,1.2,1.1,0.3,0.7,0.5,0.6,1.1,0.9,,,
bert-base,DPR,Full-Tune,msmarco,40,,,,75.5,67.9,71.7,75.7,71.3,73.5,75.3,76.2,75.8,,,
,,,,41,,,,74.5,67.8,71.1,75,71.9,73.5,76.3,77.4,76.8,,,
,,,,42,75.9,67.5,71.7,76.2,71.1,73.7,75.9,73.1,74.5,75.6,76.6,76.1,77,80.1,78.5
,,,,43,,,,75.8,69.5,72.7,76.1,73.6,74.8,75.8,77.2,76.5,,,
,,,,44,,,,77.2,71.1,74.1,76.1,72.6,74.4,76.7,77.9,77.3,,,
,,,,MEAN,75.9,67.5,71.7,75.8,69.5,72.7,75.8,72.5,74.1,75.9,77.1,76.5,77,80.1,78.5
,,,,STD,,,,1,1.6,1.3,0.5,0.9,0.6,0.6,0.7,0.6,,,
bert-base,DPR,Full-Tune,qg,40,,,,82.5,78.4,80.5,81.9,79.9,80.9,81.9,82.5,82.2,,,
,,,,41,,,,81.8,78.1,80,82,80.7,81.3,82,82.9,82.4,,,
,,,,42,82.6,77.4,80,81.7,78,79.9,81.9,80.6,81.3,81.8,83.1,82.4,82.5,85.9,84.2
,,,,43,,,,81.9,78.2,80,82.4,80.5,81.5,82.1,83.7,82.9,,,
,,,,44,,,,82.8,79.7,81.3,81.8,79.7,80.7,81.9,83.1,82.5,,,
,,,,MEAN,82.6,77.4,80,82.1,78.5,80.3,82,80.3,81.1,81.9,83.1,82.5,82.5,85.9,84.2
,,,,STD,,,,0.5,0.7,0.6,0.2,0.4,0.3,0.1,0.4,0.3,,,
bert-base,DPR,Full-Tune,qg-msmarco,40,,,,83.2,79.7,81.5,82.7,81,81.9,82.3,83.5,82.9,,,
,,,,41,,,,82.1,79,80.6,82.8,81.7,82.2,82.8,83.5,83.1,,,
,,,,42,83.2,78.5,80.8,82.3,79.3,80.8,82.3,81.2,81.8,82.6,84,83.3,83,86.3,84.7
,,,,43,,,,82.7,79.2,81,82.9,81.4,82.2,82.4,84,83.2,,,
,,,,44,,,,83.7,80.3,82,82.7,81.3,82,82.6,83.9,83.3,,,
,,,,MEAN,83.2,78.5,80.8,82.8,79.5,81.2,82.7,81.3,82,82.5,83.8,83.2,83,86.3,84.7
,,,,STD,,,,0.7,0.5,0.6,0.2,0.3,0.2,0.2,0.3,0.2,,,
co-condenser,"ANCE (Epi-3)
(zero-shot Epi-2)",Full-Tune,No,40,,,,83.8,80.5,82.1,84.2,83.4,83.8,84.3,84.8,84.6,,,
,,,,41,,,,84.1,81.5,82.8,84.1,83,83.5,84,85.6,84.8,,,
,,,,42,83.9,78.1,81,84.1,81.4,82.8,84.2,82.8,83.5,84.2,84.8,84.5,85.7,88.9,87.3
,,,,43,,,,83.8,80.6,82.2,83.9,82.5,83.2,84.4,84.8,84.6,,,
,,,,44,,,,84.2,81.1,82.7,84.3,82.7,83.5,84.4,84.9,84.6,,,
,,,,MEAN,83.9,78.1,81,84,81,82.5,84.1,82.9,83.5,84.3,85,84.6,85.7,88.9,87.3
,,,,STD,,,,0.2,0.5,0.3,0.2,0.3,0.2,0.2,0.3,0.1,,,
co-condenser,ANCE-Tele (Epi-3),Full-Tune,No,40,,,,84.2,80.4,82.3,84.4,82.7,83.6,85.1,85.4,85.2,,,
,,,,41,,,,84.4,80.2,82.3,84.7,82.6,83.7,84.9,85.1,85,,,
,,,,42,84.3,78.5,81.4,84.7,80.2,82.4,84.4,82.4,83.4,84.7,85.7,85.2,84.7,87.9,86.3
,,,,43,,,,84.6,80.3,82.5,84.7,82.3,83.5,84.7,85.1,84.9,,,
,,,,44,,,,84.6,80.2,82.4,84.7,82,83.3,84.9,85.8,85.3,,,
,,,,MEAN,84.3,78.5,81.4,84.5,80.3,82.4,84.6,82.4,83.5,84.9,85.4,85.1,84.7,87.9,86.3
,,,,STD,,,,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.2,,,
co-condenser,"Distill-ANCE(Epi-3)
(zero-shot Epi-2)",Full-Tune,No,40,,,,82.7,81,81.8,83.3,83.1,83.2,84.4,84.8,84.6,,,
,,,,41,,,,82.2,81.2,81.7,83.1,83.3,83.2,84,85.2,84.6,,,
,,,,42,82.9,80.4,81.6,82.7,81.5,82.1,82.7,83,82.9,84.2,85.2,84.7,85.4,88.5,87
,,,,43,,,,83,81.4,82.2,82.6,83,82.8,84,85,84.5,,,
,,,,44,,,,83.3,81.7,82.5,82.6,83.4,83,83.8,85.3,84.6,,,
,,,,MEAN,82.9,80.4,81.6,82.8,81.4,82.1,82.9,83.2,83,84.1,85.1,84.6,85.4,88.5,87
,,,,STD,,,,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,,,
,,,,,,,,,,,,,,,,,,,
co-condenser,DPR,Full-Tune,No,40,,,,80,74.9,77.4,80.5,78.6,79.6,80.8,81.5,81.2,,,
,,,,41,,,,79.9,75.1,77.5,80,78.2,79.1,80.8,82.6,81.7,,,
,,,,42,80.6,73.8,77.2,80.8,76.2,78.5,80.1,78.4,79.2,80.6,82.4,81.5,81.2,84.7,83
,,,,43,,,,80.2,75.7,77.9,80.3,78.4,79.4,80.9,82.3,81.6,,,
,,,,44,,,,81.7,77.5,79.6,81.3,79.8,80.5,80.8,81.9,81.4,,,
,,,,MEAN,80.6,73.8,77.2,80.5,75.9,78.2,80.4,78.7,79.6,80.8,82.1,81.5,81.2,84.7,83
,,,,STD,,,,0.7,1,0.9,0.5,0.6,0.6,0.1,0.4,0.2,,,
co-condenser,DPR,Only-Tune-Qry,No,40,,,,78.2,71.6,74.9,78.8,74.7,76.8,79.5,76.7,78.1,,,
,,,,41,,,,78.5,72.8,75.7,78.9,75.3,77.1,79.8,77.7,78.8,,,
,,,,42,80.6,73.8,77.2,78.3,71.5,74.9,79.3,75.2,77.2,79.3,77.7,78.5,80,78.4,79.2
,,,,43,,,,78.8,73,75.9,79,74.9,77,79.2,77.5,78.4,,,
,,,,44,,,,79.8,73.7,76.7,79.6,75.1,77.3,79.3,77.4,78.4,,,
,,,,MEAN,80.6,73.8,77.2,78.7,72.5,75.6,79.1,75,77.1,79.4,77.4,78.4,80,78.4,79.2
,,,,STD,,,,0.6,0.9,0.8,0.3,0.2,0.2,0.2,0.4,0.3,,,
co-condenser,DPR,Only-Tune-Psg,No,40,,,,79.6,75.2,77.4,80.1,77.5,78.8,80.7,81.3,81,,,
,,,,41,,,,79.3,73.5,76.4,79.7,77.2,78.4,81.3,81,81.1,,,
,,,,42,80.6,73.8,77.2,80.3,76.7,78.5,80.2,77.5,78.9,80.7,81.2,80.9,80.9,84.3,82.6
,,,,43,,,,79.4,74.3,76.9,80.5,77.5,79,81.1,81.3,81.2,,,
,,,,44,,,,81.4,77.3,79.3,81,78.1,79.6,80.9,81.4,81.1,,,
,,,,MEAN,80.6,73.8,77.2,80,75.4,77.7,80.3,77.6,78.9,80.9,81.2,81.1,80.9,84.3,82.6
,,,,STD,,,,0.9,1.6,1.2,0.5,0.3,0.4,0.3,0.2,0.1,,,
co-condenser,DPR,bitfit,No,40,,,,80.3,73.5,76.9,80,73.3,76.7,79.9,74.5,77.2,,,
,,,,41,,,,80.3,73.5,76.9,80.1,73.2,76.7,80.1,75.2,77.7,,,
,,,,42,80.6,73.8,77.2,80.5,73.7,77.1,80.3,73.7,77,80.4,75,77.7,81,77.3,79.2
,,,,43,,,,80.4,73.6,77,80.2,73.6,76.9,80.1,75.1,77.6,,,
,,,,44,,,,80.5,73.9,77.2,80.1,73.6,76.9,80,74.9,77.5,,,
,,,,MEAN,80.6,73.8,77.2,80.4,73.6,77,80.1,73.5,76.8,80.1,74.9,77.5,81,77.3,79.2
,,,,STD,,,,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.3,0.2,,,
co-condenser,DPR,prefix,No,40,,,,80.4,73.5,76.9,80.2,73.6,76.9,80,76.6,78.3,,,
,,,,41,,,,80.2,73.2,76.7,80,73.6,76.8,80.3,76.9,78.6,,,
,,,,42,80.6,73.8,77.2,80.5,73.6,77.1,80.4,73.9,77.2,80.6,77.1,78.8,80.8,79.6,80.2
,,,,43,,,,80.5,73.7,77.1,80.5,73.9,77.2,80.6,76.7,78.7,,,
,,,,44,,,,80.7,73.8,77.3,80.4,73.6,77,80.2,76.7,78.5,,,
,,,,MEAN,80.6,73.8,77.2,80.5,73.6,77,80.3,73.7,77,80.3,76.8,78.6,80.8,79.6,80.2
,,,,STD,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,,,
